breddegrad;lengdegrad
65.31533;12.02485
61.45283;5.475
58.07433;6.826665
63.288;9.08586
68.30666;15.50667
60.98666;4.8
64.19833;10.19333
64.79233;11.66685
67.63333;12.71667
59.29161;5.2046
65.20167;10.97333
61.1;5.5
59.884;5.21783
69.87116;18.58333
69.97045;29.63616
68.78833;16.55166
68.08633;13.203
61.6913;4.82348
59.88845;10.68938
70.70435;30.07393
70.97764;26.02597
68.232;14.6315
64.9706;10.92915
64.88833;11.31083
67.72263;14.64132
60.215;5.29433
63.28588;7.95255
63.675;8.771665
64.28073;10.37957
67.12466;13.96817
70.36681;25.45917
68.31017;15.65833
58.44167;5.9895
58.0705;8.022165
66.8705;13.50266
66.92467;13.43861
60.7885;4.829805
65.65333;12.17333
59.40166;6.09
66.73631;13.50821
68.37333;15.074
68.95668;16.63425
69.7;18.24083
59.48362;10.38622
69.55233;18.7355
66.00667;12.29
59.5;5.5
55.09166;14.68167
69.6715;19.0345
63.24316;8.152165
69.49833;10.5
59.85966;5.242665
66.176;12.8695
69.80867;19.98792
66.82767;13.57417
61.5975;4.956
59.37;5.29295
62.8425;7.082
68.72317;15.62366
78.25366;13.80033
70.27529;19.29372
61.34066;9.250665
60.39167;4.92
65.853;11.97833
58.85;9.48333
58.2;8.33833
78.54333;16.51
63.54667;10.6145
69.23517;17.95
63.98891;9.08665
60.6843;5.374505
60.9595;4.98783
58.975;5.723
77.43133;20.80833
68.20833;14.67167
78.0579;14.19323
69.954;21.09
60.94667;4.76833
59.87664;10.72157
59.86666;10.65
79.57667;12.825
71.13647;23.38087
69.79633;20.944
59.76;-165.5033
63.07083;7.52333
59.25683;6.1555
61.32217;5.05333
59.39317;5.151665
60.80938;5.002425
60.91783;6.86833
59.88166;10.5355
59.85081;10.49162
64.74397;11.02672
59.07333;10.28333
67.531;15.45267
70.78993;23.40664
59.08833;10.97167
60.04885;5.70603
59.88841;5.52354
61.94793;5.14766
66.02167;12.245
68.23783;14.589
66.3745;12.36683
66.57833;12.93333
61.00733;4.616665
69.75;30.15
68.55517;16.35183
66.3936;12.8287
68.2805;14.13667
68.28316;14.26966
69.22405;17.96934
69.75333;19.10833
58.97408;5.74835
65.47;12.192
61.20983;6.558165
59.085;5.7915
57.138;2.041165
65.729;12.31633
62.886;6.9415
65.00517;11.62133
63.10516;7.5735
60.8;4.916665
68.0785;13.61767
61.60133;5.02333
66.70083;13.11191
60.05274;6.018105
58.85133;9.40813
59.75083;5.46733
69.551;18.7035
69.78172;30.12278
68;13.75
61.1562;7.335475
57.68833;6.38
70.55233;24.0375
66.24233;13.43517
67.49333;14.65
70.065;20.96017
67.764;14.75667
69.01833;16.486
59.96818;5.32744
60.05286;5.70619
61.8715;5.15883
68.66825;16.614
65.91316;12.026
61.11666;4.78333
69.67238;18.74578
58.05;7.35
59.06255;5.90843
67.95116;15.21433
63.46167;7.84833
64.76733;10.8045
68.68716;15.42333
61.87017;5.21833
45.42533;-74.68266
64.76908;10.91575
67.07017;14.059
62.874;8.485665
62.80666;6.501665
68.95633;17.41833
61.37;4.89833
66.35616;12.60533
58.07389;8.017695
67.0745;14.321
70.6215;29.702
60.78473;4.7105
68.671;15.91667
65.75366;12.55083
70.24633;23.395
60.803;4.79133
66.3765;12.93517
62.336;5.673831
63.21083;8.16083
63.79333;8.67433
58.4;5.96933
62.47066;6.153
58.32816;6.2595
60.45833;4.985
70.503;22.77016
66.83566;13.58167
60.09083;6.47533
66.38716;12.78433
59.02617;5.773
60.42017;10.40666
70.96166;25.43333
68.55333;16.44283
58.6208;8.9328
70.03883;20.796
59.725;5.741665
63.96898;8.886575
61.583;4.779
68.95923;16.25578
57.4665;11.30317
62.73471;7.15516
65.08675;11.74793
66.53083;12.9685
70.86446;29.113
62.35;5.816665
70.27367;21.80416
61.055;4.719
59.03333;5.78333
