"ogc_fid	id	ulykkenummer	intulykkenr	nestenulykke	dato	breddegrad	lengdegrad	ulykketype_kode	ulykketype	skipinvolvert	geom_wkt"
"1777	890F097B-D105-4522-9C30-2C9042A505F4	2020/0304	20200304	J	2020-05-14	33.61666	-59.76667	G	Grunnst�ting	PELICANA	POINT(-59.7666664123535 33.6166648864746)"
"5367	0EE12CE1-AC38-4A89-B3AD-87A7336A5779	2020/0299	20200299	N	2020-05-07	66.36667	12.35	G	Grunnst�ting	STEINAR OLAISEN	POINT(12.3500003814697 66.3666687011719)"
"9522	035552DC-4B86-4F6A-8804-F142456906F5	2020/0278	20200278	N	2020-05-04	68.03667	13.35166	G	Grunnst�ting	INTER NORD	POINT(13.3516645431519 68.0366668701172)"
"7061	03621B45-56A5-485C-81DE-B4B294265F77	2020/0289	20200289	J	2020-05-04	59.02233	5.890665	G	Grunnst�ting	FJORDLYS	POINT(5.89066505432129 59.022331237793)"
"9606	8A60CB09-DBE3-4C9C-B357-F353F325BFF1	2020/0280	20200280	N	2020-04-30	62.52671	6.23988	G	Grunnst�ting	VILMA	POINT(6.23988008499146 62.5267143249512)"
"8400	D2686167-7CBE-46BA-ABF1-D306BFB34723	2020/0249	20200249	N	2020-04-21	69.55433	18.7215	G	Grunnst�ting	KEVIN	POINT(18.7215003967285 69.554328918457)"
"287	F80D2E05-1E11-40B2-89AF-070868F06726	2020/0251	20200251	N	2020-04-21	64.21195	10.11083	G	Grunnst�ting	EDVARD	POINT(10.1108303070068 64.2119522094727)"
"8678	4741CF53-D545-4E46-9BCE-DA7EA4775C79	2020/0246	20200246	N	2020-04-20	68.4	16	G	Grunnst�ting	ALDA	POINT(16 68.4000015258789)"
"217	1ED5063C-E957-4C5B-B504-055DBA634B4B	2020/0244	20200244	N	2020-04-19	60.1085	6.05833	G	Grunnst�ting	FRITIDSFARTØY	POINT(6.05833005905151 60.1085014343262)"
"9782	CE531558-9E1C-4611-9E6C-F7A20F2B073B	2020/0248	20200248	N	2020-04-17	68.5685	16.53167	G	Grunnst�ting	FRØYANES	POINT(16.531665802002 68.5684967041016)"
"2841	A4C9C4E6-EBE8-4A4F-A546-47431E58C592	2020/0239	20200239	N	2020-04-15	62.31667	5.65	G	Grunnst�ting	ELDORADO	POINT(5.65000009536743 62.3166656494141)"
"7761	2E2B7E37-56B1-4F4C-BBC6-C42A936A742A	2020/0233	20200233	N	2020-04-14	69.85	19.63333	G	Grunnst�ting	BOGØY	POINT(19.6333312988281 69.8499984741211)"
"7411	EBBAE688-CC3F-46D0-A796-BC20F218A574	2020/0227	20200227	N	2020-04-12	59.35	5.3	G	Grunnst�ting	ANNA-LISA	POINT(5.30000019073486 59.3499984741211)"
"6556	59EF7B7F-5139-493B-ADFC-A7273DC35218	2020/0236	20200236	N	2020-04-07	64.84743	11.26826	G	Grunnst�ting	MARØY VIKING	POINT(11.2682647705078 64.8474273681641)"
"8806	7E4A62DF-C180-40E0-8EC6-DD63BD5572BF	2020/0196	20200196	N	2020-03-29	59.6	5.283333	G	Grunnst�ting	BØMLAFJORD	POINT(5.28333330154419 59.5999984741211)"
"974	A6D814A1-AC06-45E0-88D7-1866BA7B42F5	2020/0219	20200219	N	2020-03-23	66.77417	13.50733	G	Grunnst�ting	TORRISLAKS 3	POINT(13.5073337554932 66.774169921875)"
"1571	CCB5F4E1-1D7D-4CD9-B99C-271BFE8C12B9	2020/0164	20200164	J	2020-03-14	60.43683	5.107165	G	Grunnst�ting	ZEA FALCON	POINT(5.10716485977173 60.4368286132813)"
"2081	754952CD-A04D-427A-811C-340978DFAB3A	2020/0162	20200162	N	2020-03-13	68.48333	15.20166	G	Grunnst�ting	VITIN	POINT(15.2016649246216 68.4833297729492)"
"7838	940F725E-7174-4DB5-B122-C5D8A809BF93	2020/0161	20200161	N	2020-03-11	68.28343	14.2703	G	Grunnst�ting	NORDHAVET	POINT(14.270299911499 68.2834320068359)"
"3117	6D4CECC6-8CC2-439D-BAA2-4E96D06AFDA1	2020/0159	20200159	J	2020-03-08	69.32333	16.12166	G	Grunnst�ting	OSVALDSON	POINT(16.1216640472412 69.3233337402344)"
"9601	CADC6E91-D06B-44FD-BE4F-F341C7D4D38B	2020/0148	20200148	N	2020-03-07	56.774	10.31433	G	Grunnst�ting	STARMI	POINT(10.3143301010132 56.773998260498)"
"5177	13E05DD9-9359-452A-9127-82FD3FC00EE8	2020/0154	20200154	N	2020-03-06	58.07467	7.96833	G	Grunnst�ting	SYNNE	POINT(7.96832990646362 58.0746650695801)"
"6607	BEE33779-E7D7-4E97-B600-A87FA6863F51	2020/0141	20200141	N	2020-03-04	62.63833	6.39	G	Grunnst�ting	VÅGØY	POINT(6.3899998664856 62.6383285522461)"
"9097	25C0535B-61E7-4C8F-BFFB-E5C172C2816A	2020/0132	20200132	N	2020-03-01	67.95383	15.16433	G	Grunnst�ting	BASUNEN	POINT(15.1643295288086 67.9538269042969)"
"1480	7AFD36D3-05F0-4907-9884-250B671FC31D	2020/0134	20200134	N	2020-02-27	66.17976	12.36855	G	Grunnst�ting	AQS MARINE	POINT(12.3685503005981 66.1797637939453)"
"9921	4C795DAF-A7DA-4C6E-8BC2-FADCDA697115	2020/0149	20200149	N	2020-02-23	58.04233	7.9695	G	Grunnst�ting	SYNNE	POINT(7.96950006484985 58.0423316955566)"
